geometry,Crime Type:,Occurrence Date/Time:,Location:,City:,Neighbourhood:,Prevention Tips:,Victim's Guide:
"X: 495428.667, Y: 5454581.4527, Z: NaN",Break and Enter Commercial,2026-04-03T20:43:00.0000000,21XX KINGSWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/business/,
"X: 495509.516, Y: 5454533.615, Z: NaN",Break and Enter Commercial,2026-04-07T06:30:00.0000000,22XX KINGSWAY AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/business/,
"X: 489926.9991, Y: 5456911.5007, Z: NaN",Break and Enter Commercial,2026-04-12T14:00:00.0000000,23XX GRANVILLE ST,VAN,Fairview,https://vpd.ca/crime-prevention-safety/business/,
"X: 496210.5827, Y: 5459881.7974, Z: NaN",Break and Enter Commercial,2026-04-02T23:00:00.0000000,25XX WALL ST,VAN,Hastings-Sunrise,https://vpd.ca/crime-prevention-safety/business/,
"X: 490986.85, Y: 5456735.9661, Z: NaN",Break and Enter Commercial,2026-04-13T08:53:00.0000000,8XX W BROADWAY AVE,VAN,Fairview,https://vpd.ca/crime-prevention-safety/business/,
"X: 491528.032, Y: 5453574.1706, Z: NaN",Break and Enter Commercial,2026-04-07T04:33:00.0000000,55XX CAMBIE ST,VAN,South Cambie,https://vpd.ca/crime-prevention-safety/business/,
"X: 492206.8702, Y: 5458693.4618, Z: NaN",Break and Enter Commercial,2026-04-12T03:30:00.0000000,8X W PENDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/business/,
"X: 493373.9487, Y: 5451786.2772, Z: NaN",Break and Enter Commercial,2026-04-15T16:46:00.0000000,72XX FRASER ST,VAN,Sunset,https://vpd.ca/crime-prevention-safety/business/,
"X: 497384.5683, Y: 5453300.9156, Z: NaN",Break and Enter Residential/Other,2026-04-11T01:39:00.0000000,32XX SCHOOL AVE,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 494654.9261, Y: 5458316.5963, Z: NaN",Break and Enter Residential/Other,2026-04-14T01:06:00.0000000,15XX ADANAC ST,VAN,Grandview-Woodland,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 494595.7985, Y: 5451612.7518, Z: NaN",Break and Enter Residential/Other,2026-04-15T20:50:00.0000000,15XX E 58TH AVE,VAN,Victoria-Fraserview,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 491658.3575, Y: 5458377.3128, Z: NaN",Break and Enter Residential/Other,2026-04-13T04:16:00.0000000,1XX ROBSON ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 490648.0588, Y: 5456427.6195, Z: NaN",Mischief,2026-04-03T23:42:00.0000000,10XX W 12TH AVE,VAN,Fairview,,
"X: 490681.4598, Y: 5458560.2425, Z: NaN",Mischief,2026-04-07T16:00:00.0000000,11XX BURRARD ST,VAN,Central Business District,,
"X: 490599.8614, Y: 5458794.8422, Z: NaN",Mischief,2026-04-06T22:00:00.0000000,11XX COMOX ST,VAN,West End,,
"X: 490862.0554, Y: 5458321.587, Z: NaN",Mischief,2026-04-11T10:46:00.0000000,11XX GRANVILLE ST,VAN,Central Business District,,
"X: 490863.6588, Y: 5458323.1988, Z: NaN",Mischief,2026-04-03T06:00:00.0000000,11XX GRANVILLE ST,VAN,Central Business District,,
"X: 490780.948, Y: 5459247.3735, Z: NaN",Mischief,2026-04-08T03:11:00.0000000,11XX ROBSON ST,VAN,West End,,
"X: 489264.1378, Y: 5457760.9858, Z: NaN",Mischief,2026-04-15T00:30:00.0000000,18XX CORNWALL AVE,VAN,Kitsilano,,
"X: 494846.2782, Y: 5456820.5114, Z: NaN",Mischief,2026-04-07T06:59:00.0000000,16XX GRANDVIEW HWY N,VAN,Grandview-Woodland,,
"X: 492205.7215, Y: 5456292.2403, Z: NaN",Mischief,2026-04-09T01:00:00.0000000,1XX W 13TH AVE,VAN,Mount Pleasant,,
"X: 492569.3686, Y: 5458843.9296, Z: NaN",Mischief,2026-04-08T01:00:00.0000000,1XX E CORDOVA ST,VAN,Central Business District,,
"X: 492566.4957, Y: 5458738.913, Z: NaN",Mischief,2026-04-04T00:55:00.0000000,1XX E HASTINGS ST,VAN,Central Business District,,
"X: 491602.097, Y: 5459484.4883, Z: NaN",Mischief,2026-04-04T07:01:00.0000000,2XX BURRARD ST,VAN,Central Business District,,
"X: 491602.097, Y: 5459484.4883, Z: NaN",Mischief,2026-04-15T13:00:00.0000000,2XX BURRARD ST,VAN,Central Business District,,
